MDP Label,Mapping Name,Action,Reason,Data team Filled,Data team Suggested
Africa/Eurasia,Africa/Eurasia,KEEP,Colgate's region; 'Africa' would drop Eurasia,Africa,Africa
Alaska and Hawaii,United States,MAP,Domino's; both are U.S. states — Alaska alone would drop Hawaii,Alaska,Alaska
All foreign countries,Foreign,MAP,'foreign' family,Foreign,Other
All international,International,MAP,both data-team passes agree,International,International
All other,Other,MAP,both data-team passes agree,Other,Other
All other countries,Other,MAP,both data-team passes agree,Other,Other
All Other Foreign Countries,Foreign,MAP,'foreign' family,Foreign,Other
All other international,International,MAP,both data-team passes agree,International,International
All other regions,Other,MAP,both data-team passes agree,Other,Other
All others international,International,MAP,'international' family,International,Other
America,Americas,MAP,both data-team passes agree,Americas,Americas
Americas (excluding United States),Americas,MAP,head noun is Americas,Americas,Americas excluding U.S.
Americas (non-U.S.),Americas,MAP,head noun is Americas; the U.S. carve-out is still Americas revenue,Americas,Americas
Americas - Other,Americas,MAP,both data-team passes agree,Americas,Americas
Americas - U.S.,United States,MAP,names only the U.S.; matches data team's own 'Americas - United States' row,Americas,Americas
Americas - United States,United States,MAP,both data-team passes agree,United States,United States
Americas excluding U.S.,Americas,MAP,head noun is Americas,Americas,Americas excluding U.S.
Asia (excluding China region),Asia,MAP,both data-team passes agree,Asia,Asia
Asia and Central America,Asia and Central America,KEEP,two continents,(not in their sheet),
Asia Pacific & Latin America (APLA),Asia Pacific & Latin America (APLA),KEEP,two continents; 'Asia' would drop Latin America,Asia,Asia
Asia Pacific (excluding China and Japan),Asia Pacific (APAC),MAP,head noun is Asia Pacific (data team said 'Asia'),Asia,Asia
"Asia Pacific (excluding China, Taiwan and Japan)",Asia Pacific (APAC),MAP,head noun is Asia Pacific,Asia,Asia
Asia Pacific (including Oceania),Asia Pacific (APAC),MAP,head noun is Asia Pacific,Asia,Asia
Asia Pacific (other than China and Japan),Asia Pacific (APAC),MAP,head noun is Asia Pacific,Asia,Asia
Asia Pacific (other than Japan and China),Asia Pacific (APAC),MAP,head noun is Asia Pacific,Asia,Asia
Asia Pacific and Japan,Asia Pacific (APAC),MAP,both data-team passes agree,Asia Pacific (APAC),Asia Pacific (APAC)
Asia Pacific and other,Asia Pacific (APAC),MAP,head noun is Asia Pacific,Asia,Asia Pacific (APAC)
"Asia Pacific, Europe, Middle East and Africa",EMEA And Asia Pacific,MAP,names APAC too; the workbook already has 'EMEA And Asia Pacific',"Europe, Middle East and Africa (EMEA)","Europe, Middle East and Africa (EMEA)"
"Asia Pacific, Japan & China (APJC)",Asia Pacific (APAC),MAP,both data-team passes agree,Asia Pacific (APAC),Asia Pacific (APAC)
