ticker,company,reason,reason_detail,feed,days_old_as_of_2026-06-16
AAP,"Advance Auto Parts, Inc.",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,475
AKA,a.k.a. Brands Holding Corp,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,467
CMG,"Chipotle Mexican Grill, Inc.",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,497
CRI,Carter's,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,476
DDS,Dillard's,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,476
DPZ,"Domino's Pizza, Inc.",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,477
FOSL,"Fossil Group, Inc.",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,461
HLN,Haleon plc,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,474
KHC,The Kraft Heinz Company,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,489
KTB,"Kontoor Brands, Inc",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,476
MCD,McDonald's Corporation,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,491
MUSA,Murphy USA Inc.,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,496
QSR,Restaurant Brands International Inc.,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,489
REAL,"The RealReal, Inc",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,481
SBH,Sally Beauty,Outdated calendar,Latest annual Nov 14 2024 (>460d); current-FY date missing from NASDAQ feed,NASDAQ,579
SHAK,Shake Shack Inc.,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,481
SHOO,"Steven Madden, Ltd.",Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,475
SHW,Sherwin-Williams,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,502
SNBR,Sleep Number,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,468
TDUP,ThredUp Inc.,Outdated calendar,Latest annual is prior FY (>460d); current-FY date missing from NASDAQ feed,NASDAQ,470
